Sr. No.,match,team,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
1,India Vs Australia,Australia,Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,ODI # 4662
2,India Vs Australia,Australia,Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,ODI # 4662
3,India Vs Australia,Australia,Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,ODI # 4662
4,India Vs Australia,Australia,Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,ODI # 4662
5,India Vs Australia,Australia,Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,ODI # 4662
6,India Vs Australia,Australia,Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,ODI # 4662
7,India Vs Australia,Australia,Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,ODI # 4662
8,India Vs Australia,India,Jasprit Bumrah,9.0,2,43,2,4.77,37,8,0,0,0,ODI # 4662
9,India Vs Australia,India,Mohammed Shami,7.0,1,47,1,6.71,28,6,1,3,0,ODI # 4662
10,India Vs Australia,India,Ravindra Jadeja,10.0,0,43,0,4.3,29,1,1,1,0,ODI # 4662
11,India Vs Australia,India,Kuldeep Yadav,10.0,0,56,0,5.6,25,3,2,0,0,ODI # 4662
12,India Vs Australia,India,Mohammed Siraj,7.0,0,45,1,6.42,16,4,1,0,0,ODI # 4662
13,South Africa Vs Australia,Australia,Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0,ODI # 4667
14,South Africa Vs Australia,Australia,Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0,ODI # 4667
15,South Africa Vs Australia,Australia,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,ODI # 4667
16,South Africa Vs Australia,Australia,Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,ODI # 4667
17,South Africa Vs Australia,Australia,Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,ODI # 4667
18,South Africa Vs Australia,Australia,Travis Head,5.0,0,21,2,4.2,19,3,0,1,0,ODI # 4667
19,South Africa Vs Australia,South Africa,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,ODI # 4667
20,South Africa Vs Australia,South Africa,Kagiso Rabada,6.0,0,41,1,6.83,24,2,4,1,1,ODI # 4667
21,South Africa Vs Australia,South Africa,Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,ODI # 4667
22,South Africa Vs Australia,South Africa,Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,ODI # 4667
