,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c),c Head b Maxwell,47,31,4,3,151.61
1, Vs ,,2,Shubman Gill,c Zampa b Starc,4,7,0,0,57.14
2, Vs ,,3,Virat Kohli, b Cummins,54,63,4,0,85.71
3, Vs ,,4,Shreyas Iyer,c â€ Inglis b Cummins,4,3,1,0,133.33
4, Vs ,,5,KL Rahulâ€ ,c â€ Inglis b Starc,66,107,1,0,61.68
5, Vs ,,6,Ravindra Jadeja,c â€ Inglis b Hazlewood,9,22,0,0,40.90
6, Vs ,,7,Suryakumar Yadav,c â€ Inglis b Hazlewood,18,28,1,0,64.28
7, Vs ,,8,Mohammed Shami,c â€ Inglis b Starc,6,10,1,0,60.00
8, Vs ,,9,Jasprit Bumrah,lbw b Zampa,1,3,0,0,33.33
9, Vs ,,10,Kuldeep Yadav,run out (Labuschagne/Cummins),10,18,0,0,55.55
10, Vs ,,11,Mohammed Siraj,,9,8,1,0,112.50
11, Vs ,,1,David Warner,c Kohli b Mohammed Shami,7,3,1,0,233.33
12, Vs ,,2,Travis Head,c Shubman Gill b Mohammed Siraj,137,120,15,4,114.16
13, Vs ,,3,Mitchell Marsh,c â€ Rahul b Bumrah,15,15,1,1,100.00
14, Vs ,,4,Steven Smith,lbw b Bumrah,4,9,1,0,44.44
15, Vs ,,5,Marnus Labuschagne,,58,110,4,0,52.72
16, Vs ,,6,Glenn Maxwell,,2,1,0,0,200.00
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ ,c Cummins b Hazlewood,3,14,0,0,21.42
1, Vs ,,2,Temba Bavuma(c),c â€ Inglis b Starc,0,4,0,0,0.00
2, Vs ,,3,Rassie van der Dussen,c Smith b Hazlewood,6,31,0,0,19.35
3, Vs ,,4,Aiden Markram,c Warner b Starc,10,20,2,0,50.00
4, Vs ,,5,Heinrich Klaasen, b Head,47,48,4,2,97.91
5, Vs ,,6,David Miller,c Head b Cummins,101,116,8,5,87.06
6, Vs ,,7,Marco Jansen,lbw b Head,0,1,0,0,0.00
7, Vs ,,8,Gerald Coetzee,c â€ Inglis b Cummins,19,39,2,0,48.71
8, Vs ,,9,Keshav Maharaj,c Smith b Starc,4,8,0,0,50.00
9, Vs ,,10,Kagiso Rabada,c Maxwell b Cummins,10,12,0,1,83.33
10, Vs ,,11,Tabraiz Shamsi,,1,5,0,0,20.00
11, Vs ,,1,Travis Head, b Maharaj,62,48,9,2,129.16
12, Vs ,,2,David Warner, b Markram,29,18,1,4,161.11
13, Vs ,,3,Mitchell Marsh,c van der Dussen b Rabada,0,6,0,0,0.00
14, Vs ,,4,Steven Smith,c â€ de Kock b Coetzee,30,62,2,0,48.38
15, Vs ,,5,Marnus Labuschagne,lbw b Shamsi,18,31,2,0,58.06
16, Vs ,,6,Glenn Maxwell, b Shamsi,1,5,0,0,20.00
17, Vs ,,7,Josh Inglisâ€ , b Coetzee,28,49,3,0,57.14
18, Vs ,,8,Mitchell Starc,,16,38,2,0,42.10
19, Vs ,,9,Pat Cummins(c),,14,29,2,0,48.27
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Pathum Nissanka, b Tanzim Hasan Sakib,41,36,8,0,113.88
1, Vs ,,2,Kusal Perera,c â€ Mushfiqur Rahim b Shoriful Islam,4,5,1,0,80.00
2, Vs ,,3,Kusal Mendis(c)â€ ,c Shoriful Islam b Shakib Al Hasan,19,30,1,1,63.33
3, Vs ,,4,Sadeera Samarawickrama,c Mahmudullah b Shakib Al Hasan,41,42,4,0,97.61
4, Vs ,,5,Charith Asalanka,c Litton Das b Tanzim Hasan Sakib,108,105,6,5,102.85
5, Vs ,,6,Angelo Mathews,,0,0,0,0,-
6, Vs ,,7,Dhananjaya de Silva,st â€ Mushfiqur Rahim b Mehidy Hasan Miraz,34,36,4,1,94.44
7, Vs ,,8,Maheesh Theekshana,c sub (Nasum Ahmed) b Shoriful Islam,21,31,3,0,67.74
8, Vs ,,9,Dushmantha Chameera,run out (â€ Mushfiqur Rahim),4,9,0,0,44.44
9, Vs ,,10,Kasun Rajitha,c Litton Das b Tanzim Hasan Sakib,0,2,0,0,0.00
10, Vs ,,11,Dilshan Madushanka,,0,1,0,0,0.00
11, Vs ,,1,Tanzid Hasan,c Nissanka b Madushanka,9,5,2,0,180.00
12, Vs ,,2,Litton Das,lbw b Madushanka,23,22,2,2,104.54
13, Vs ,,3,Najmul Hossain Shanto, b Mathews,90,101,12,0,89.10
14, Vs ,,4,Shakib Al Hasan(c),c Asalanka b Mathews,82,65,12,2,126.15
15, Vs ,,5,Mahmudullah, b Theekshana,22,23,3,1,95.65
16, Vs ,,6,Mushfiqur Rahimâ€ , b Madushanka,10,13,1,0,76.92
17, Vs ,,7,Towhid Hridoy,,15,7,0,2,214.28
