,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Aryan Dutt,7,0,52,0,7.42,19,7,1,1,0
1, Vs ,,Logan van Beek,10,0,107,0,10.70,17,10,6,1,0
2, Vs ,,Colin Ackermann,3,0,25,0,8.33,5,2,1,1,0
3, Vs ,,Paul van Meekeren,10,0,90,1,9.00,19,6,5,2,1
4, Vs ,,Roelof van der Merwe,10,0,53,1,5.30,27,4,1,0,0
5, Vs ,,Bas de Leede,10,0,82,2,8.20,22,8,2,8,0
6, Vs ,,Jasprit Bumrah,9,1,33,2,3.66,35,3,0,1,0
7, Vs ,,Mohammed Siraj,6,1,29,2,4.83,23,5,0,1,0
8, Vs ,,Mohammed Shami,6,0,41,0,6.83,15,4,1,1,0
9, Vs ,,Kuldeep Yadav,10,1,41,2,4.10,39,1,3,0,0
10, Vs ,,Ravindra Jadeja,9,0,49,2,5.44,31,4,2,1,0
11, Vs ,,Virat Kohli,3,0,13,1,4.33,10,1,0,0,0
12, Vs ,,Shubman Gill,2,0,11,0,5.50,4,1,0,0,0
13, Vs ,,Suryakumar Yadav,2,0,17,0,8.50,5,0,2,0,0
14, Vs ,,Rohit Sharma,0.5,0,7,1,8.40,3,0,1,0,0
